A0A183	IPI00807623
A0PJM3	IPI00937866
A0PJN4	IPI00923085
A0PJR5	IPI00934358
A0PJS5	IPI00498941
A0PJT0	IPI00817705
A0PJW6	IPI00456888
A0PJW8	IPI00012682
A0PJX0	IPI00046468
A0PJX2	IPI00552055
A0PJX4	IPI00455600
A0PJX8	IPI00174997
A0PJY2	IPI00376675
A0PJY2	IPI00816263
A0PJY2	IPI00852828
A0PJZ0	IPI00455358
A0PJZ3	IPI00374227
A0PK00	IPI00815976
A0PK05	IPI00783225
A0PK05	IPI00884963
A0PK11	IPI00415041
A0PK84	IPI00223336
A0RZB4	IPI00722646
A0SWL0	IPI00518822
A0T2N3	IPI00508049
A0ZSE6	IPI00787365
A1A4F0	IPI00455588
A1A4F0	IPI00788855
A1A4F0	IPI00908820
A1A4F0	IPI00983671
A1A4H6	IPI00734460
A1A4H9	IPI00706066
A1A4I1	IPI00704107
A1A4I4	IPI00696739
A1A4I9	IPI00712448
A1A4J1	IPI00718220
A1A4J6	IPI00704271
A1A4J7	IPI00690306
A1A4J7	IPI00906018
A1A4J8	IPI00685600
A1A4K1	IPI00691116
A1A4K3	IPI00713891
A1A4K5	IPI00829550
A1A4K8	IPI00695600
A1A4L0	IPI00697982
A1A4L1	IPI00906161
A1A4L4	IPI00732733
A1A4L5	IPI00701945
A1A4L6	IPI00695617
A1A4L8	IPI00692964
A1A4L8	IPI00929090
A1A4M2	IPI00693799
A1A4M4	IPI00718208
A1A4M6	IPI00704199
A1A4N1	IPI00716136
A1A4P4	IPI00704324
A1A4P5	IPI00691995
A1A4P6	IPI00814831
A1A4P9	IPI00695582
A1A4Q2	IPI00707027
A1A4Q3	IPI00714757
A1A4Q4	IPI00814841
A1A4Q8	IPI00727469
A1A4Q9	IPI00840446
A1A4R1	IPI01003114
A1A4R8	IPI00699402
A1A4R9	IPI00686933
A1A4S6	IPI00290332
A1A4T8	IPI00401424
A1A4T8	IPI00854603
A1A4V9	IPI00787135
A1A4V9	IPI00885135
A1A4V9	IPI00885184
A1A4V9	IPI01009897
A1A4Y4	IPI00235330
A1A519	IPI00217198
A1A519	IPI00384045
A1A519	IPI00470952
A1A519	IPI00887622
A1A535	IPI00406394
A1A535	IPI01007682
A1A546	IPI00316540
A1A546	IPI00850211
A1A547	IPI00411013
A1A580	IPI00373962
A1A5B4	IPI00152780
A1A5B4	IPI00922125
A1A5B4	IPI00922523
A1A5B6	IPI00222302
A1A5C7	IPI00217176
A1A5C7	IPI00789245
A1A5C7	IPI00868919
A1A5C7	IPI00868990
A1A5D9	IPI00095032
A1A5D9	IPI00783304
A1A5H6	IPI00829204
A1A5H8	IPI00487427
A1A5I1	IPI00501968
A1A5P0	IPI00196865
A1A5P2	IPI00191512
A1A5P5	IPI00358077
A1A5P9	IPI00361996
A1A5Q0	IPI00372026
A1A5Q4	IPI00765275
A1A5Q5	IPI00767164
A1A5Q6	IPI00559079
A1A5Q7	IPI00371211
A1A5R1	IPI00950010
A1A5R7	IPI00565694
A1A5R8	IPI00365070
A1A5R9	IPI00392097
A1A5S1	IPI00368842
A1A5S3	IPI00193149
A1A5V7	IPI00499683
A1A5V9	IPI00829047
A1A5X2	IPI00495246
A1A5X5	IPI00829249
A1A5Y0	IPI00829092
A1A5Y5	IPI00798764
A1A5Z0	IPI00638981
A1A5Z3	IPI00829007
A1A600	IPI00828991
A1DZY4	IPI00492980
A1E959	IPI00152784
A1E960	IPI00380255
A1EC95	IPI00197203
A1EGX6	IPI00828958
A1IGU3	IPI00367535
A1IGU4	IPI00223868
A1IGU4	IPI00894812
A1IGU5	IPI00374285
A1IGX5	IPI00511690
A1KXC4	IPI00111983
A1KXE4	IPI00434875
A1KXE4	IPI00556592
A1KXM5	IPI00582620
A1KXW8	IPI00829506
A1KZ92	IPI00065049
A1KZ92	IPI00890814
A1L020	IPI00385217
A1L0T0	IPI00554541
A1L0T0	IPI01017876
A1L0T3	IPI00756667
A1L108	IPI00213408
A1L108	IPI00563873
A1L112	IPI00421416
A1L131	IPI00370388
A1L134	IPI00196841
A1L157	IPI00457075
A1L162	IPI01011080
A1L167	IPI00740385
A1L168	IPI00783496
A1L170	IPI00401682
A1L170	IPI01008902
A1L188	IPI00807537
A1L190	IPI00879804
A1L1A6	IPI00893880
A1L1F1	IPI00829063
A1L1F4	IPI00829298
A1L1F6	IPI00806008
A1L1G1	IPI00829273
A1L1I3	IPI00947845
A1L1J6	IPI00554313
A1L1J9	IPI00361476
A1L1K1	IPI00373652
A1L1K3	IPI00765706
A1L1K4	IPI00565274
A1L1K7	IPI00829486
A1L1L1	IPI00829479
A1L1L2	IPI00365583
A1L1L3	IPI00764790
A1L1L7	IPI00565610
A1L1M4	IPI00497410
A1L1N5	IPI00505352
A1L1P7	IPI00829165
A1L1P9	IPI00803541
A1L1R0	IPI00862539
A1L1R5	IPI00829324
A1L1R6	IPI00807030
A1L1S5	IPI00487605
A1L1V4	IPI00492487
A1L1W4	IPI00829015
A1L1W9	IPI00829315
A1L209	IPI00758669
A1L224	IPI00801345
A1L237	IPI00829276
A1L243	IPI00804403
A1L243	IPI00944859
A1L244	IPI00829030
A1L251	IPI00829146
A1L252	IPI00801039
A1L253	IPI00799964
A1L258	IPI00829228
A1L259	IPI00810517
A1L260	IPI00614365
A1L272	IPI00488087
A1L2E4	IPI00944363
A1L2F3	IPI00617463
A1L2F3	IPI00864689
A1L2F6	IPI00633543
A1L2G3	IPI00491066
A1L314	IPI00658632
A1L317	IPI00137658
A1L390	IPI00291711
A1L390	IPI00867518
A1L390	IPI00867678
A1L3C1	IPI00808536
A1L3C1	IPI00848557
A1L3T7	IPI00344835
A1L3X0	IPI00783761
A1L3X4	IPI00329471
A1L429	IPI00641015
A1L443	IPI00847848
A1L453	IPI00337614
A1L4H1	IPI00946928
A1L4H1	IPI00979213
A1L4K1	IPI00175833
A1L4L8	IPI00076612
A1L4M7	IPI00478724
A1L4Q6	IPI00419182
A1L4W5	IPI00523676
A1L4Y2	IPI00541581
A1L504	IPI00685637
A1L504	IPI00889480
A1L515	IPI00709859
A1L520	IPI00700932
A1L595	IPI00715044
A1L5A6	IPI00695141
A1X283	IPI00023832
A1XBS5	IPI00064716
A1XBS5	IPI00167542
A1XBS5	IPI00845249
A1XBS5	IPI00845312
A1XBS5	IPI00852694
A1XJK0	IPI00534559
A1XJK0	IPI00545567
A1XQX0	IPI00829233
A1XQX1	IPI00497090
A1XQX2	IPI01023375
A1XQX3	IPI00805704
A1XQX8	IPI00829166
A1XQX8	IPI01027907
A1XQY0	IPI00633078
A1XQY1	IPI00829121
A1XQY1	IPI00999075
A1XQY3	IPI00503888
A1Y9I9	IPI00828901
A1YB07	IPI00920882
A1YIY0	IPI01007665
A1YKT1	IPI00810567
A1YKT1	IPI00892004
A1YPR0	IPI00719277
A1YQ93	IPI00693300
A1Z1Q3	IPI00827557
A1Z1Q3	IPI00856020
A1Z1Q3	IPI00893415
A1Z1Q3	IPI00910543
A1Z1Q3	IPI00914986
A2A288	IPI00854887
A2A288	IPI00943634
A2A288	IPI01009660
A2A2V5	IPI00296579
A2A2Y4	IPI00184358
A2A2Y4	IPI00217088
A2A2Y4	IPI00642471
A2A2Y4	IPI00657701
A2A2Y4	IPI00885145
A2A2Z9	IPI00852758
A2A368	IPI00738845
A2A3K4	IPI00376989
A2A3K4	IPI00419863
A2A3L6	IPI00657665
A2A3L6	IPI00657961
A2A3N6	IPI00419692
A2A3V1	IPI00606284
A2A3V2	IPI00345133
A2A432	IPI00224689
A2A432	IPI00473987
A2A4P0	IPI00461304
A2A559	IPI00169951
A2A559	IPI00648808
A2A591	IPI00271475
A2A5E6	IPI00227377
A2A5E6	IPI00874777
A2A5H7	IPI00662057
A2A5I3	IPI00378551
A2A5K6	IPI00461851
A2A5N8	IPI00457726
A2A5R2	IPI00137087
A2A5X4	IPI00755430
A2A5X5	IPI00458824
A2A5Z6	IPI00346033
A2A5Z6	IPI00626426
A2A690	IPI00551112
A2A690	IPI00648438
A2A699	IPI00396753
A2A699	IPI00890142
A2A6A1	IPI00341196
A2A6C4	IPI00350397
A2A6C4	IPI00830781
A2A6H3	IPI00461296
A2A6M5	IPI00655039
A2A6M5	IPI00857904
A2A6M5	IPI00875149
A2A6M5	IPI00877285
A2A6M5	IPI00877295
A2A6Q5	IPI00461309
A2A6Q5	IPI00648691
A2A6Q5	IPI00954651
A2A6T1	IPI00353932
A2A791	IPI00453846
A2A791	IPI00625993
A2A7Q9	IPI00938483
A2A7S8	IPI00420527
A2A7S8	IPI00650031
A2A7S8	IPI00875022
A2A7S8	IPI00875730
A2A7V7	IPI00624292
A2A7Y5	IPI00229450
A2A7Y5	IPI00654274
A2A7Z8	IPI00130079
A2A825	IPI00343735
A2A863	IPI00313479
A2A863	IPI00480458
A2A863	IPI00649251
A2A870	IPI00320979
A2A870	IPI00857467
A2A884	IPI00121314
A2A891	IPI00284435
A2A891	IPI00378693
A2A891	IPI00648671
A2A891	IPI00649537
A2A891	IPI00831530
A2A8L5	IPI00110264
A2A8T7	IPI00317294
A2A8U2	IPI00462562
A2A8U2	IPI00875955
A2A8U2	IPI00885556
A2A8Z1	IPI00165727
A2A8Z1	IPI00969806
A2A935	IPI00223243
A2A935	IPI00648809
A2A935	IPI00944796
A2A995	IPI00341102
A2A9A2	IPI00229301
A2A9C3	IPI00420588
A2A9C3	IPI00970666
A2A9F4	IPI00224356
A2A9G7	IPI00466819
A2A9I7	IPI00850033
A2A9Q0	IPI00226725
A2A9Q0	IPI00828484
A2A9T0	IPI00648425
A2A9T0	IPI00877274
A2AA28	IPI00133803
A2AAE1	IPI00755374
A2AAE1	IPI00808103
A2AAE1	IPI00850947
A2AAE1	IPI00885934
A2AAE1	IPI01008053
A2AAE1	IPI01023158
A2AAJ9	IPI00459500
A2AAJ9	IPI00855152
A2AAJ9	IPI00915477
A2AAY5	IPI00222090
A2AB59	IPI00648511
A2AB59	IPI00886308
A2ABU4	IPI00378974
A2ABV5	IPI00417070
A2ABV5	IPI00469443
A2ABV5	IPI00788366
A2ABV5	IPI00831273
A2AC93	IPI00112690
A2AC93	IPI00403331
A2ACG1	IPI00379191
A2ACJ2	IPI00110485
A2ACP1	IPI00321669
A2ACP1	IPI00648487
A2AD83	IPI00377363
A2ADA5	IPI00458175
A2ADA5	IPI00626517
A2ADA5	IPI00875388
A2ADF7	IPI00225387
A2ADF7	IPI00755260
A2ADU8	IPI00676433
A2ADU9	IPI00553822
A2ADY9	IPI00608021
A2ADZ8	IPI00137995
A2AE20	IPI00751093
A2AE42	IPI00461230
A2AED3	IPI00226158
A2AED3	IPI00649419
A2AED3	IPI00844746
A2AEY4	IPI00228786
A2AEY4	IPI00466950
A2AF47	IPI00462949
A2AF53	IPI00775778
A2AFE9	IPI00133236
A2AFR3	IPI00653851
A2AFR3	IPI00831201
A2AFR3	IPI00831313
A2AFS3	IPI00342908
A2AFS3	IPI00845572
A2AFS3	IPI00845768
A2AG06	IPI00283934
A2AG06	IPI00857877
A2AG50	IPI00459177
A2AG50	IPI00808096
A2AG50	IPI00830556
A2AG58	IPI00381415
A2AG58	IPI00831175
A2AGA4	IPI00221995
A2AGB2	IPI00649548
A2AGH6	IPI00620781
A2AGH6	IPI00625430
A2AGH6	IPI00882323
A2AGL3	IPI00404991
A2AGL3	IPI00606638
A2AGT5	IPI00317134
A2AGT5	IPI00337930
A2AGT5	IPI00874846
A2AGX3	IPI00752312
A2AH22	IPI00261808
A2AH22	IPI00622790
A2AH22	IPI00653387
A2AH22	IPI00654077
A2AH22	IPI00752741
A2AH22	IPI00880527
A2AH22	IPI00881898
A2AHC3	IPI00673777
A2AHC3	IPI00885251
A2AHG0	IPI00378731
A2AHG0	IPI00651935
A2AHG0	IPI00968391
A2AHJ4	IPI00652540
A2AHJ4	IPI00660178
A2AHJ4	IPI00750468
A2AHL1	IPI00756965
A2AHL1	IPI00757601
A2AI05	IPI00265188
A2AI05	IPI00654208
A2AI05	IPI00875682
A2AI08	IPI00223286
A2AIG8	IPI00229717
A2AIG8	IPI00750758
A2AIL4	IPI00341302
A2AIP0	IPI00228967
A2AIP0	IPI00648864
A2AIP0	IPI00649357
A2AIP0	IPI00881574
A2AIP0	IPI00881986
A2AIV2	IPI00348445
A2AIV2	IPI00869461
A2AIW0	IPI00108549
A2AIW0	IPI00134271
A2AIW0	IPI00222281
A2AIW0	IPI00742395
A2AIW0	IPI00875046
A2AIW0	IPI00889206
A2AJ15	IPI00124093
A2AJ76	IPI00321022
A2AJ76	IPI00874425
A2AJ77	IPI00378528
A2AJ88	IPI00331610
A2AJ88	IPI00853933
A2AJA7	IPI00378521
A2AJA7	IPI00754404
A2AJA9	IPI00420221
A2AJA9	IPI00955709
A2AJB1	IPI00665375
A2AJB1	IPI00853690
A2AJB2	IPI00115958
A2AJB7	IPI00129538
A2AJB7	IPI00622017
A2AJB7	IPI00655110
A2AJB7	IPI00895962
A2AJI0	IPI00282957
A2AJI0	IPI00867855
A2AJK6	IPI00345676
A2AJK6	IPI00666779
A2AJK6	IPI00849588
A2AJL3	IPI00116643
A2AJL3	IPI00648162
A2AJN7	IPI00408344
A2AJQ3	IPI00378635
A2AJQ3	IPI00404281
A2AJT4	IPI00808191
A2AJT9	IPI00166305
A2AJT9	IPI00477909
A2AJT9	IPI00746281
A2AKB4	IPI00340702
A2AKB9	IPI00170055
A2AKB9	IPI00649982
A2AKB9	IPI00867762
A2AKB9	IPI00867908
A2AKE7	IPI00108207
A2AKG8	IPI00420906
A2AKG8	IPI00621499
A2AKG8	IPI00881872
A2AKK5	IPI00341621
A2AKK5	IPI00649002
A2AKM2	IPI00131890
A2AKM2	IPI00402817
A2AKQ8	IPI00457673
A2AKX3	IPI00421108
A2AKX3	IPI00626271
A2AKY4	IPI00114692
A2AL36	IPI00319699
A2AL36	IPI00606303
A2ALI5	IPI00125794
A2ALK8	IPI00621903
A2ALU4	IPI00463074
A2ALU4	IPI00762712
A2ALW5	IPI00648950
A2ALW5	IPI00857582
A2AM05	IPI00228926
A2AM05	IPI00621351
A2AM05	IPI00649561
A2AM05	IPI00890203
A2AM29	IPI00473183
A2AMM0	IPI00109505
A2AMT1	IPI00309648
A2AMT1	IPI00750405
A2AMZ4	IPI00648968
A2AN08	IPI00378681
A2AN08	IPI00606977
A2AN08	IPI00648709
A2AN08	IPI00845523
A2AN08	IPI00845583
A2ANU3	IPI00457710
A2ANX9	IPI00970209
A2AP18	IPI00226764
A2AP18	IPI00649874
A2AP18	IPI00830504
A2AP18	IPI00875018
A2AP18	IPI00876566
A2APB8	IPI00420481
A2APC3	IPI00137944
A2APC3	IPI00756000
A2APF3	IPI00652217
A2APF3	IPI00929764
A2APT9	IPI00466814
A2APU8	IPI00606935
A2APV2	IPI00345373
A2APV2	IPI00403559
A2APV2	IPI00849114
A2APY7	IPI00110460
A2APY7	IPI00869373
A2AQ07	IPI00348094
A2AQ14	IPI00756191
A2AQ19	IPI00757677
A2AQ25	IPI00411164
A2AQ25	IPI00553590
A2AQ25	IPI00752398
A2AQ25	IPI00754456
A2AQ25	IPI00756087
A2AQ25	IPI00849799
A2AQ25	IPI00849959
A2AQ25	IPI00851081
A2AQ25	IPI00968353
A2AQH4	IPI00272398
A2AQP0	IPI00755200
A2AQW0	IPI00465657
A2AR02	IPI00349306
A2AR50	IPI00138321
A2AR50	IPI00460834
A2AR50	IPI00754130
A2AR50	IPI00755355
A2AR95	IPI00317789
A2AR95	IPI00620433
A2AR95	IPI00755538
A2ARA8	IPI00345112
A2ARA8	IPI00857527
A2ARI4	IPI00753252
A2ARJ3	IPI00467238
A2ARM1	IPI00108109
A2ARP1	IPI00330220
A2ARP1	IPI00624662
A2ARP1	IPI00750816
A2ARP1	IPI00751331
A2ARP1	IPI00880404
A2ARP1	IPI00974812
A2ARP9	IPI00131285
A2ARS0	IPI00379202
A2ARV4	IPI00349520
A2ARZ3	IPI00750014
A2AS55	IPI00221778
A2AS55	IPI00885585
A2AS89	IPI00110843
A2ASA8	IPI00944211
A2ASQ1	IPI00378698
A2ASQ1	IPI00648938
A2ASQ1	IPI00874558
A2ASS6	IPI00749707
A2ASS6	IPI00753639
A2ASS6	IPI00756257
A2ASZ8	IPI00265568
A2ASZ8	IPI00403174
A2ASZ8	IPI00749749
A2ASZ8	IPI00752950
A2ASZ8	IPI00755086
A2ATD1	IPI00895968
A2ATU0	IPI00756386
A2AU37	IPI00752563
A2AU72	IPI00226920
A2AU72	IPI00606353
A2AUC9	IPI00136119
A2AUM9	IPI00464304
A2AUU0	IPI00116083
A2AUU0	IPI00648923
A2AUU0	IPI00664098
A2AUU0	IPI00875686
A2AUU0	IPI00875751
A2AUU0	IPI00876401
A2AV25	IPI00453752
A2AV25	IPI00853686
A2AV36	IPI00482900
A2AV37	IPI00504307
A2AVA0	IPI00112858
A2AVA0	IPI00885501
A2AVJ0	IPI00809287
A2AVJ5	IPI00330820
A2AVQ5	IPI00380416
A2AVR2	IPI00751382
A2AVZ9	IPI00124253
A2AVZ9	IPI00553370
A2AWA9	IPI00227356
A2AWA9	IPI00378156
A2AWA9	IPI00856706
A2AWH2	IPI00806492
A2AWL7	IPI00817009
A2AWL7	IPI00896591
A2AWL7	IPI00896608
A2AWL7	IPI00986970
A2AWP0	IPI00622498
A2AWP8	IPI00624316
A2AWP8	IPI00648575
A2AWP8	IPI00648830
A2AWP8	IPI00649459
A2AWP8	IPI00649713
A2AWT3	IPI00623517
A2AWT3	IPI00853939
A2AX52	IPI00828867
A2BDG0	IPI00829410
A2BDP1	IPI00676321
A2BDR7	IPI00995364
A2BDX3	IPI00277554
A2BDX4	IPI00354575
A2BE28	IPI00462502
A2BE28	IPI00876170
A2BE76	IPI00498050
A2BEA6	IPI00615387
A2BF66	IPI00498935
A2BFC9	IPI00809572
A2BFH1	IPI00657716
A2BFL2	IPI00954642
A2BFP5	IPI00489475
A2BG43	IPI00507402
A2BGA0	IPI00512878
A2BGD5	IPI00498322
A2BGG1	IPI00491151
A2BGH0	IPI00378550
A2BGH0	IPI00775868
A2BGL3	IPI00509993
A2BGP7	IPI00512659
A2BGR3	IPI00635423
A2BGS3	IPI00769915
A2BGT0	IPI00498326
A2BGU8	IPI00481836
A2BGU9	IPI00511242
A2BH40	IPI00127131
A2BH40	IPI00955140
A2BH40	IPI00955160
A2BH40	IPI00974963
A2BHB7	IPI00488608
A2BHJ4	IPI00487742
A2BID5	IPI00503244
A2BID5	IPI00865231
A2BID7	IPI00817811
A2BIE7	IPI00501416
A2BIG9	IPI00817804
A2BIJ3	IPI00508684
A2BIL7	IPI00496386
A2BIL8	IPI00508839
A2BIR6	IPI00799969
A2CE44	IPI00463552
A2CE83	IPI00877499
A2CEA7	IPI00805515
A2CEH0	IPI00506502
A2CEI6	IPI00497265
A2CEQ0	IPI00483778
A2CER7	IPI00513365
A2CES0	IPI00504534
A2CEZ5	IPI00507580
A2CG49	IPI00225550
A2CG49	IPI00620349
A2CG49	IPI00653391
A2CG49	IPI00660519
A2CG49	IPI00673239
A2CG49	IPI00762276
A2CG49	IPI00776346
A2CG49	IPI00848608
A2CG49	IPI00851092
A2CG63	IPI00380954
A2CG63	IPI00776412
A2CI97	IPI00828993
A2CI98	IPI00828542
A2CJ06	IPI00827799
A2I7M9	IPI00930024
A2I7N0	IPI00971592
A2I7N1	IPI00707034
A2I7N2	IPI00829575
A2I7N3	IPI00686980
A2IDD5	IPI00216820
A2IDD5	IPI00418718
A2IDD5	IPI00640123
A2IDD5	IPI00640899
A2IDD5	IPI00641470
A2IDD5	IPI00847993
A2KF29	IPI00828473
A2PYH4	IPI00374013
A2PYH4	IPI00852603
A2RRD8	IPI00413972
A2RRH5	IPI00867634
A2RRH5	IPI00902979
A2RRH5	IPI00908536
A2RRH5	IPI01008842
A2RRL7	IPI00927678
A2RRL7	IPI00927889
A2RRL7	IPI00940418
A2RRL7	IPI01010906
A2RRP1	IPI00333913
A2RRP1	IPI00847551
A2RRT9	IPI00831724
A2RRU1	IPI00203972
A2RRU1	IPI00768345
A2RRU3	IPI00360292
A2RRU4	IPI00373570
A2RRV3	IPI00501957
A2RRV9	IPI00919684
A2RRW4	IPI00497157
A2RRY8	IPI00137123
A2RRY8	IPI00453540
A2RRY8	IPI00622439
A2RSJ4	IPI00762371
A2RSQ0	IPI00845620
A2RSQ1	IPI00113006
A2RSQ1	IPI00844795
A2RSX7	IPI00652808
A2RSX7	IPI00875296
A2RSY1	IPI00223902
A2RSY1	IPI00845576
A2RSY1	IPI00845845
A2RSY6	IPI00459632
A2RSY6	IPI00885379
A2RSY6	IPI00885582
A2RSY6	IPI00885813
A2RT60	IPI00356976
A2RT62	IPI00108960
A2RT67	IPI00464312
A2RT91	IPI00223907
A2RTF1	IPI00223935
A2RTL5	IPI00471063
A2RTX5	IPI00328082
A2RTX5	IPI00892711
A2RTY3	IPI00065287
A2RTY3	IPI00384289
A2RTY3	IPI00910439
A2RTY3	IPI00922651
A2RTY3	IPI00922721
A2RU14	IPI00150515
A2RU30	IPI00853247
A2RU30	IPI00878268
A2RU30	IPI00879386
A2RU37	IPI00418866
A2RU48	IPI00168012
A2RU49	IPI00418966
A2RU49	IPI00783749
A2RU49	IPI00884281
A2RU54	IPI00398900
A2RU67	IPI00375879
A2RUB1	IPI00173449
A2RUB1	IPI00744856
A2RUB1	IPI00917217
A2RUB1	IPI00917572
A2RUB6	IPI00178568
A2RUB6	IPI00884155
A2RUB6	IPI00915755
A2RUB6	IPI00927406
A2RUC4	IPI00181373
A2RUC4	IPI00872995
A2RUG3	IPI00848083
A2RUH7	IPI00258522
A2RUQ5	IPI00410523
A2RUR9	IPI00334492
A2RUR9	IPI00479279
A2RUR9	IPI01009978
A2RUS2	IPI00442078
A2RUS2	IPI00448616
A2RUS2	IPI00856077
A2RUS2	IPI00981524
